test,min_adult_age,max_adult_age,low_F,low_M,high_F,high_M
FER,18.0,120.0,10.0,22.0,204.0,275.0
FERX,18.0,120.0,10.0,22.0,204.0,275.0
FEST,0.0,120.0,0.0,0.0,45.0,45.0
FFA,0.0,120.0,0.1,0.1,0.9,0.9
FIB,1.0,120.0,1.7,1.7,4.6,4.6
FIBA,0.0,120.0,50.0,50.0,150.0,150.0
FKLC,0.0,120.0,3.3,3.3,19.4,19.4
FKLR,0.0,120.0,0.26,0.26,1.65,1.65
FKLT,0.0,120.0,3.3,3.3,19.4,19.4
FLLC,0.0,120.0,5.71,5.71,26.3,26.3
FLLT,0.0,120.0,5.7,5.7,26.3,26.3
FLND,0.0,120.0,200.0,200.0,800.0,800.0
FLU,0.0,120.0,57.0,57.0,68.0,68.0
FOL,0.0,120.0,3.1,3.1,20.5,20.5
FOLX,0.0,120.0,3.1,3.1,20.5,20.5
FPOR,0.0,120.0,0.0,0.0,200.0,200.0
FPS,0.0,120.0,,70.0,,160.0
FPS,45.0,120.0,74.0,,160.0,
FRT,0.0,120.0,0.26,0.26,1.65,1.65
FRUC,0.0,120.0,205.0,205.0,285.0,285.0
FSH,18.0,120.0,,0.95,,11.95
FT3,18.0,120.0,2.89,2.89,4.88,4.88
FT4,18.0,120.0,9.0,9.0,19.0,19.0
FT4X,18.0,120.0,9.0,9.0,19.0,19.0
G6P,0.0,120.0,0.0,0.0,1.0,1.0
GACH,0.0,120.0,0.0,0.0,150.0,150.0
GAD,0.0,120.0,0.0,0.0,1.0,1.0
GAST,0.0,120.0,0.0,0.0,40.0,40.0
GFR,0.0,120.0,60.0,60.0,99999.0,99999.0
GGT,0.0,120.0,9.0,12.0,36.0,64.0
GHRH,0.0,120.0,0.0,0.0,20.0,20.0
GLC,16.0,120.0,3.0,3.0,7.8,7.8
GLCF,16.0,120.0,3.0,3.0,5.4,5.4
GLOB,0.0,120.0,20.0,20.0,35.0,35.0
GLU,16.0,120.0,3.0,3.0,7.8,7.8
GLUC,16.0,120.0,3.0,3.0,7.8,7.8
GLUF,16.0,120.0,3.0,3.0,5.4,5.4
GLUG,0.0,120.0,0.0,0.0,50.0,50.0
HAPT,11.0,61.0,0.35,0.14,2.5,2.58
HAPT,61.0,120.0,0.63,0.4,2.73,2.68
HB,18.0,49.0,12.0,13.5,16.0,18.0
HB,49.0,120.0,11.8,13.3,14.8,16.7
HB1,18.0,49.0,120.0,135.0,160.0,180.0
HB1,49.0,120.0,118.0,133.0,148.0,167.0
HCG,0.0,120.0,0.0,0.0,5.0,2.0
HCT,12.0,120.0,0.36,0.39,0.44,0.5
HDL,18.0,120.0,0.9,0.8,2.1,1.7
HG,0.0,120.0,0.0,0.0,25.0,25.0
HI24,0.0,120.0,10.0,10.0,42.0,42.0
HMWK,0.0,120.0,50.0,50.0,150.0,150.0
HOLO,0.0,120.0,24.9,24.9,109.0,109.0
HOMO,0.0,120.0,0.0,0.0,11.3,14.3
HRGP,0.0,120.0,50.0,50.0,150.0,150.0
ICA,5.0,120.0,1.18,1.18,1.32,1.32
IGA,18.0,60.0,0.65,0.63,4.21,4.84
IGA,60.0,120.0,0.69,1.01,5.17,6.45
IGAP,15.0,45.0,0.8,0.8,2.8,2.8
IGAP,45.0,120.0,0.8,0.8,4.0,4.0
IGE,0.0,120.0,0.0,0.0,107.0,107.0
IGFP,18.0,19.0,2.8,2.7,6.5,6.3
IGFP,19.0,20.0,2.8,2.7,6.6,6.4
IGFP,20.0,21.0,2.9,2.8,6.6,6.4
IGFP,21.0,26.0,2.8,2.7,6.2,6.1
IGFP,26.0,31.0,2.6,2.6,5.8,6.0
IGFP,31.0,36.0,2.5,2.6,5.7,6.0
IGFP,36.0,41.0,2.4,2.5,5.6,6.0
IGFP,41.0,46.0,2.3,2.4,5.6,5.9
IGFP,46.0,51.0,2.3,2.3,5.7,5.8
IGFP,51.0,56.0,2.2,2.1,5.7,5.7
IGFP,56.0,61.0,2.2,2.0,5.7,5.6
IGFP,61.0,66.0,2.1,1.9,5.6,5.5
IGFP,66.0,71.0,2.0,1.8,5.5,5.2
IGFP,71.0,76.0,2.0,1.7,5.5,5.0
IGFP,76.0,81.0,1.9,1.6,5.5,5.0
IGFP,81.0,86.0,2.0,1.7,5.7,5.2
IGFP,86.0,90.0,,1.7,,5.2
IGG,18.0,120.0,5.52,5.4,16.31,18.22
IGG1,15.0,110.0,3.2,3.2,10.2,10.2
IGG2,15.0,110.0,1.2,1.2,6.6,6.6
IGM,18.0,120.0,0.33,0.22,2.93,2.4
ILGF,17.0,21.0,15.2,15.2,42.4,42.4
ILGF,21.0,24.0,12.8,12.8,38.0,38.0
ILGF,24.0,29.0,10.9,10.9,34.0,34.0
ILGF,29.0,34.0,9.2,9.2,30.8,30.8
ILGF,34.0,39.0,8.2,8.2,29.3,29.3
ILGF,39.0,44.0,7.5,7.5,28.8,28.8
ILGF,44.0,49.0,6.9,6.9,28.1,28.1
ILGF,49.0,54.0,6.2,6.2,27.5,27.5
ILGF,54.0,59.0,5.8,5.8,27.6,27.6
ILGF,59.0,64.0,5.5,5.5,28.9,28.9
ILGF,64.0,69.0,5.2,5.2,29.6,29.6
ILGF,69.0,79.0,4.5,4.5,28.4,28.4
ILGF,79.0,120.0,3.9,3.9,27.3,27.3
IMCF,0.0,120.0,0.465,0.465,0.59,0.59
IMOT,0.0,120.0,,0.0,,100.0
INFA,0.0,120.0,0.0,0.0,10.0,10.0
INR,1.0,120.0,0.8,0.8,1.2,1.2
INRA,0.0,120.0,1.56,1.56,1.8,1.8
INRM,0.0,120.0,0.8,0.8,1.2,1.2
INRN,0.0,120.0,0.8,0.8,1.2,1.2
IRON,18.0,120.0,9.0,11.6,30.4,31.3
IRTR,0.0,120.0,0.0,0.0,60.0,60.0
IVMA,0.0,120.0,0.75,0.75,0.99,0.99
K,16.0,120.0,3.5,3.5,5.3,5.3
K24,0.0,120.0,25.0,25.0,125.0,125.0
LACT,0.0,120.0,0.6,0.6,2.5,2.5
LAM1,0.0,120.0,3.0,3.0,15.0,15.0
LAMO,0.0,120.0,4.0,4.0,60.0,60.0
LDH,18.0,120.0,125.0,125.0,220.0,220.0
LDL,15.0,20.0,1.85,1.85,3.0,3.0
LDL,20.0,100.0,1.4,1.4,4.0,4.0
LEVE,0.0,120.0,12.0,12.0,46.0,46.0
LH,18.0,120.0,,0.57,,12.07
LI,0.0,120.0,0.4,0.4,1.0,1.0
LPS,19.0,120.0,8.0,8.0,78.0,78.0
LUC,0.0,120.0,0.0,0.0,0.45,0.45
LYMP,16.0,120.0,1.0,1.0,3.2,3.2
MAG,0.0,120.0,0.0,0.0,1001.0,1001.0
MAPR,0.0,120.0,1.28,1.28,1.52,1.52
MCH,12.0,120.0,27.3,27.3,32.6,32.6
MCHC,0.0,120.0,31.6,31.6,34.9,34.9
MCV,12.0,120.0,77.0,77.0,98.0,98.0
MFIB,0.0,120.0,1.7,1.7,4.6,4.6
MG,18.0,120.0,0.7,0.7,1.0,1.0
MG24,0.0,120.0,2.4,2.4,6.5,6.5
MHB,0.0,120.0,0.0,0.0,3.0,3.0
MONO,16.0,120.0,0.2,0.2,0.6,0.6
MUCO,15.0,19.0,0.0,0.0,9.0,9.0
MUCO,19.0,120.0,0.0,0.0,5.0,5.0
NA24,0.0,120.0,40.0,40.0,220.0,220.0
NBNP,74.0,120.0,0.0,0.0,450.0,450.0
NDNA,0.0,120.0,0.0,0.0,20.0,20.0
NEUR,0.0,120.0,0.0,0.0,100.0,100.0
NEUT,16.0,120.0,1.7,1.7,7.5,7.5
NK1,0.0,120.0,90.0,90.0,600.0,600.0
NKA,16.0,50.0,0.09,0.09,0.6,0.6
NKA,50.0,110.0,0.12,0.12,0.66,0.66
NKP,16.0,50.0,90.0,90.0,600.0,600.0
NKP,50.0,110.0,120.0,120.0,660.0,660.0
NO24,0.0,120.0,71.0,71.0,505.0,505.0
NORD,18.0,120.0,0.0,0.0,48.0,48.0
NPMT,0.0,120.0,,0.0,,100.0
OGAP,0.0,120.0,0.0,0.0,10.0,10.0
OHAE,16.0,56.0,0.0,,2.3,
OHAE,16.0,120.0,,0.0,,2.6
OHAN,16.0,56.0,0.0,,2.4,
OHAN,16.0,120.0,,0.0,,3.2
OLAN,0.0,120.0,20.0,20.0,40.0,40.0
OSAT,0.0,120.0,96.0,96.0,97.0,97.0
OSMO,0.0,120.0,275.0,275.0,295.0,295.0
OX24,0.0,120.0,100.0,100.0,460.0,460.0
OXIN,0.0,120.0,0.1,0.13,0.18,0.35
P24,0.0,120.0,0.0,0.0,0.3,0.3
P3OL,16.0,51.0,0.9,,3.3,
P3OL,16.0,120.0,,2.0,,6.0
P3OL,51.0,120.0,0.1,,1.4,
P5NA,0.0,120.0,2.3,2.3,3.4,3.4
PADH,0.0,120.0,60.0,60.0,99.0,99.0
PB,0.0,120.0,0.0,0.0,0.5,0.5
PBG,0.0,120.0,0.0,0.0,0.75,0.75
PBSC,0.0,120.0,0.0,0.0,1.5,1.5
PC,0.0,120.0,70.0,70.0,150.0,150.0
PCI,0.0,120.0,70.0,70.0,150.0,150.0
PCO2,0.0,120.0,4.5,4.5,6.0,6.0
PCR,0.0,120.0,0.0,0.0,20.0,20.0
PH24,0.0,120.0,15.0,15.0,50.0,50.0
PHEB,0.0,120.0,10.0,10.0,40.0,40.0
PHEN,0.0,120.0,5.0,5.0,20.0,20.0
PHOS,18.0,120.0,0.74,0.74,1.52,1.52
PKAL,0.0,120.0,50.0,50.0,150.0,150.0
PLAN,0.0,120.0,70.0,70.0,150.0,150.0
PLGL,0.0,120.0,119.0,119.0,391.0,391.0
PLT,0.0,120.0,150.0,150.0,400.0,400.0
PMIN,0.0,120.0,80.0,80.0,120.0,120.0
PMOT,0.0,120.0,,0.0,,100.0
PNAL,0.0,120.0,21.0,21.0,133.0,133.0
PO2,0.0,120.0,12.0,12.0,15.0,15.0
PP,0.0,120.0,0.0,0.0,300.0,300.0
PROL,0.0,120.0,109.0,73.0,557.0,407.0
PRSR,1.0,120.0,0.8,0.8,1.2,1.2
PRST,0.0,120.0,12.0,12.0,16.0,16.0
PS,0.0,120.0,70.0,70.0,130.0,130.0
PSA,60.0,70.0,,0.0,,3.0
PSA,70.0,120.0,,0.0,,4.0
PSAX,60.0,70.0,,0.0,,4.0
PSAX,70.0,120.0,,0.0,,4.0
PT,0.0,120.0,10.0,10.0,15.0,15.0
PT25,0.0,120.0,0.79,0.79,1.3,1.3
PTH,0.0,120.0,1.59,1.59,7.24,7.24
