"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"122","True","ESR","False","","","False","M","25","Y","(2.0-6)","","","2.0000","6.0000","","","1.0000","70.0000",""
"123","True","ESR","False","@[095608]","QTA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"124","True","ESR","False","@[096408]","QTA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"125","True","ESR","False","@[095608]","GCA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"126","True","ESR","False","@[096408]","GCA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"127","True","ESR","False","@[095608]","TA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"128","True","ESR","False","@[096408]","TA","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","30.0000",""
"129","True","ESR","False","","","False","F","34","Y","(2.0-15)","","","2.0000","15.0000","","","1.0000","70.0000",""
"130","True","ESR","False","@[095608]","QTA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"131","True","ESR","False","@[096408]","QTA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"132","True","ESR","False","@[095608]","GCA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"133","True","ESR","False","@[096408]","GCA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"134","True","ESR","False","@[095608]","TA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"135","True","ESR","False","@[096408]","TA","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","30.0000",""
"136","True","ESR","False","","","False","M","34","Y","(2.0-9)","","","2.0000","9.0000","","","1.0000","70.0000",""
